
id,idHab,idHabTo,title,startDate,money,moneyGrp,category,memo,endAfter,endTimes,idGrp,idHabGrp,endDate,isDeleted,isPaided,repeat
12983,67,-1,Marketting Price,2001-12-31 00:00:00.000,1363623.57,1363623.57,206,Marketting Price,No end date,0,-1,-1,2002-01-01 00:00:00.000,0,1,Only once
12984,67,-1,Opening Balance,2002-01-01 00:00:00.000,0.0,0.0,287,,No end date,0,-1,-1,2002-01-02 00:00:00.000,0,1,Only once
12995,67,78,AIA Saving Insurance,2002-06-26 00:00:00.000,-17755.4,-17755.4,-1,,No end date,0,-1,-1,2002-06-27 00:00:00.000,0,1,Only once
13085,78,-1,Insurance Expense,2002-06-30 00:00:00.000,-17755.4,-17755.4,217,Insurance Expense,No end date,0,-1,-1,2002-07-01 00:00:00.000,0,1,Only once
8301,15,-1,Opening Balance,2003-01-01 00:00:00.000,-24510.0,-24510.0,287,,No end date,0,-1,-1,2003-01-02 00:00:00.000,0,1,Only once
8302,15,-1,Bank Expense,2003-03-19 00:00:00.000,-230.0,-230.0,71,ATM Card Charger,No end date,0,-1,-1,2003-03-20 00:00:00.000,0,1,Only once
12996,67,78,AIA Saving Insurance,2003-06-26 00:00:00.000,-17755.4,-17755.4,-1,,No end date,0,-1,-1,2003-06-27 00:00:00.000,0,1,Only once
13086,78,-1,Insurance Expense,2003-06-30 00:00:00.000,-13255.4,-13255.4,217,Insurance Expense,No end date,0,-1,-1,2003-07-01 00:00:00.000,0,1,Only once
8303,15,-1,Bank Expense,2004-03-19 00:00:00.000,-230.0,-230.0,71,ATM Card Charger,No end date,0,-1,-1,2004-03-20 00:00:00.000,0,1,Only once
12997,67,78,AIA Saving Insurance,2004-06-26 00:00:00.000,-17755.4,-17755.4,-1,,No end date,0,-1,-1,2004-06-27 00:00:00.000,0,1,Only once
13087,78,-1,Insurance Expense,2004-06-30 00:00:00.000,-655.4,-655.4,217,Insurance Expense,No end date,0,-1,-1,2004-07-01 00:00:00.000,0,1,Only once
13107,78,15,Return Insurance 4%,2004-07-26 00:00:00.000,-6000.0,-6000.0,-1,,No end date,0,-1,-1,2004-07-27 00:00:00.000,0,1,Only once
12985,67,-1,IT Expense,2004-11-10 00:00:00.000,-40700.0,-40700.0,235,1st Notebook by Mom,No end date,0,-1,-1,2004-11-11 00:00:00.000,0,1,Only once
0,0,-1,A Salary Net,2005-01-01 00:00:00.000,-750.0,15250.0,5,,No end date,0,1,0,2005-01-02 00:00:00.000,0,1,Only once
2,0,-1,A Salary Net,2005-01-01 00:00:00.000,0.0,15250.0,6,,No end date,0,1,0,2005-01-02 00:00:00.000,0,1,Only once
1,0,-1,A Salary Net,2005-01-01 00:00:00.000,16000.0,15250.0,0,,No end date,0,1,0,2005-01-02 00:00:00.000,0,1,Only once
3,0,-1,Renting Room,2005-01-31 00:00:00.000,-1700.0,-1700.0,144,,No end date,0,-1,-1,2005-02-01 00:00:00.000,0,1,Only once
6,0,-1,Renting Room,2005-02-28 00:00:00.000,-1700.0,-1700.0,144,,No end date,0,-1,-1,2005-03-01 00:00:00.000,0,1,Only once
4,0,-1,A Salary Net,2005-02-28 00:00:00.000,-750.0,15250.0,5,,No end date,0,5,0,2005-03-01 00:00:00.000,0,1,Only once
7,0,-1,A Salary Net,2005-02-28 00:00:00.000,0.0,15250.0,6,,No end date,0,5,0,2005-03-01 00:00:00.000,0,1,Only once
5,0,-1,A Salary Net,2005-02-28 00:00:00.000,16000.0,15250.0,0,,No end date,0,5,0,2005-03-01 00:00:00.000,0,1,Only once
8304,15,-1,Bank Expense,2005-03-19 00:00:00.000,-230.0,-230.0,71,ATM Card Charger,No end date,0,-1,-1,2005-03-20 00:00:00.000,0,1,Only once
8,0,-1,Renting Room,2005-03-28 00:00:00.000,-1700.0,-1700.0,144,,No end date,0,-1,-1,2005-03-29 00:00:00.000,0,1,Only once
11,0,-1,A Salary Net,2005-03-31 00:00:00.000,-750.0,15250.0,5,,No end date,0,9,0,2005-04-01 00:00:00.000,0,1,Only once
10,0,-1,A Salary Net,2005-03-31 00:00:00.000,0.0,15250.0,6,,No end date,0,9,0,2005-04-01 00:00:00.000,0,1,Only once
9,0,-1,A Salary Net,2005-03-31 00:00:00.000,16000.0,15250.0,0,,No end date,0,9,0,2005-04-01 00:00:00.000,0,1,Only once
12,0,-1,Renting Room,2005-04-28 00:00:00.000,-1700.0,-1700.0,144,,No end date,0,-1,-1,2005-04-29 00:00:00.000,0,1,Only once
13,0,-1,Z Other Expense,2005-04-29 00:00:00.000,-36700.0,-36700.0,43,,No end date,0,-1,-1,2005-04-30 00:00:00.000,0,1,Only once
16,0,-1,A Salary Net,2005-04-30 00:00:00.000,-750.0,15250.0,5,,No end date,0,14,0,2005-05-01 00:00:00.000,0,1,Only once
15,0,-1,A Salary Net,2005-04-30 00:00:00.000,0.0,15250.0,6,,No end date,0,14,0,2005-05-01 00:00:00.000,0,1,Only once
14,0,-1,A Salary Net,2005-04-30 00:00:00.000,16000.0,15250.0,0,,No end date,0,14,0,2005-05-01 00:00:00.000,0,1,Only once
17,0,-1,A Ying Expense,2005-05-04 00:00:00.000,-6000.0,-6000.0,164,Monthly Payment,No end date,0,-1,-1,2005-05-05 00:00:00.000,0,1,Only once
18,0,-1,Renting Room,2005-05-28 00:00:00.000,-1700.0,-1700.0,144,,No end date,0,-1,-1,2005-05-29 00:00:00.000,0,1,Only once
19,0,-1,Z Other Expense,2005-05-30 00:00:00.000,-3100.0,-3100.0,43,,No end date,0,-1,-1,2005-05-31 00:00:00.000,0,1,Only once
22,0,-1,A Salary Net,2005-05-31 00:00:00.000,-750.0,19077.5,5,,No end date,0,20,0,2005-06-01 00:00:00.000,0,1,Only once
21,0,-1,A Salary Net,2005-05-31 00:00:00.000,-172.5,19077.5,6,,No end date,0,20,0,2005-06-01 00:00:00.000,0,1,Only once
23,0,-1,A Salary Net,2005-05-31 00:00:00.000,2000.0,19077.5,11,,No end date,0,20,0,2005-06-01 00:00:00.000,0,1,Only once
20,0,-1,A Salary Net,2005-05-31 00:00:00.000,18000.0,19077.5,0,,No end date,0,20,0,2005-06-01 00:00:00.000,0,1,Only once
24,0,-1,A Ying Expense,2005-06-04 00:00:00.000,-6000.0,-6000.0,164,Monthly Payment,No end date,0,-1,-1,2005-06-05 00:00:00.000,0,1,Only once
12998,67,78,AIA Saving Insurance,2005-06-26 00:00:00.000,-17755.4,-17755.4,-1,,No end date,0,-1,-1,2005-06-27 00:00:00.000,0,1,Only once
25,0,-1,Renting Room,2005-06-28 00:00:00.000,-1700.0,-1700.0,144,,No end date,0,-1,-1,2005-06-29 00:00:00.000,0,1,Only once
26,0,-1,Z Other Expense,2005-06-29 00:00:00.000,-3654.3,-3654.3,43,,No end date,0,-1,-1,2005-06-30 00:00:00.000,0,1,Only once
13088,78,-1,Insurance Expense,2005-06-30 00:00:00.000,-10255.4,-10255.4,217,Insurance Expense,No end date,0,-1,-1,2005-07-01 00:00:00.000,0,1,Only once
30,0,-1,A Salary Net,2005-06-30 00:00:00.000,-750.0,19031.79,5,,No end date,0,27,0,2005-07-01 00:00:00.000,0,1,Only once
29,0,-1,A Salary Net,2005-06-30 00:00:00.000,-218.21,19031.79,6,,No end date,0,27,0,2005-07-01 00:00:00.000,0,1,Only once
28,0,-1,A Salary Net,2005-06-30 00:00:00.000,2000.0,19031.79,11,,No end date,0,27,0,2005-07-01 00:00:00.000,0,1,Only once
27,0,-1,A Salary Net,2005-06-30 00:00:00.000,18000.0,19031.79,0,,No end date,0,27,0,2005-07-01 00:00:00.000,0,1,Only once
31,0,-1,A Ying Expense,2005-07-04 00:00:00.000,-8000.0,-8000.0,164,Monthly Payment,No end date,0,-1,-1,2005-07-05 00:00:00.000,0,1,Only once
32,0,-1,IT Expense,2005-07-10 00:00:00.000,-13900.0,-13900.0,122,Cyber Dictionary 9,No end date,0,-1,-1,2005-07-11 00:00:00.000,0,1,Only once
